epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
10,0.8393217325210571,9.999999747378752e-05,0.3628612160682678,0.8155339956283569,0.4700321853160858
11,0.9027048945426941,9.999999747378752e-05,0.23159177601337433,0.8640776872634888,0.31864133477211
12,0.9119902849197388,9.999999747378752e-05,0.2023485153913498,0.8608414530754089,0.2950837016105652
13,0.9402502775192261,9.999999747378752e-05,0.15038247406482697,0.8705501556396484,0.3869345188140869
14,0.9535728693008423,9.999999747378752e-05,0.11344995349645615,0.893203854560852,0.29343825578689575
15,0.9644731283187866,9.999999747378752e-05,0.09976719319820404,0.909385085105896,0.3283011019229889
16,0.9733548760414124,9.999999747378752e-05,0.07549507915973663,0.8867313861846924,0.2940082848072052
17,0.9745659828186035,9.999999747378752e-05,0.06871437281370163,0.8996763825416565,0.6182493567466736
18,0.9834477305412292,4.999999873689376e-05,0.05085362121462822,0.893203854560852,0.5862663984298706
19,0.9895034432411194,4.999999873689376e-05,0.03095688298344612,0.8996763825416565,0.5603773593902588
20,0.9866774082183838,4.999999873689376e-05,0.035671986639499664,0.8834951519966125,0.7236554026603699
